date,followers
2024-08-27,530
2024-08-28,521
2024-08-29,511
2024-08-30,519
2024-08-31,511
2024-09-01,530
2024-09-02,554
2024-09-03,522
2024-09-04,521
2024-09-05,541
2024-09-06,540
2024-09-07,536
2024-09-08,518
2024-09-09,535
2024-09-10,549
2024-09-11,513
2024-09-12,530
2024-09-13,505
2024-09-14,517
2024-09-15,508
2024-09-16,538
2024-09-17,520
2024-09-18,548
2024-09-19,547
2024-09-20,542
2024-09-21,501
2024-09-22,537
2024-09-23,547
2024-09-24,551
2024-09-25,522
2024-09-26,542
2024-09-27,533
2024-09-28,537
2024-09-29,572
2024-09-30,539
2024-10-01,554
2024-10-02,571
2024-10-03,546
2024-10-04,555
2024-10-05,560
2024-10-06,560
2024-10-07,537
2024-10-08,562
2024-10-09,586
2024-10-10,534
2024-10-11,578
2024-10-12,566
2024-10-13,553
2024-10-14,601
2024-10-15,580
2024-10-16,545
2024-10-17,569
2024-10-18,579
2024-10-19,566
2024-10-20,583
2024-10-21,570
2024-10-22,584
2024-10-23,599
2024-10-24,562
2024-10-25,578
2024-10-26,567
2024-10-27,579
2024-10-28,556
2024-10-29,568
2024-10-30,575
2024-10-31,596
2024-11-01,601
2024-11-02,558
2024-11-03,568
2024-11-04,595
2024-11-05,548
2024-11-06,576
2024-11-07,584
2024-11-08,609
2024-11-09,600
2024-11-10,582
2024-11-11,582
2024-11-12,585
2024-11-13,618
2024-11-14,584
2024-11-15,587
2024-11-16,599
2024-11-17,592
2024-11-18,591
2024-11-19,576
2024-11-20,596
2024-11-21,589
2024-11-22,619
2024-11-23,611
2024-11-24,599
2024-11-25,613
2024-11-26,595
2024-11-27,621
2024-11-28,603
2024-11-29,615
2024-11-30,582
2024-12-01,612
2024-12-02,576
2024-12-03,571
2024-12-04,603
2024-12-05,593
2024-12-06,613
2024-12-07,651
2024-12-08,597
2024-12-09,601
2024-12-10,617
2024-12-11,623
2024-12-12,612
2024-12-13,612
2024-12-14,629
2024-12-15,627
2024-12-16,600
2024-12-17,618
2024-12-18,621
2024-12-19,602
2024-12-20,626
2024-12-21,607
2024-12-22,641
2024-12-23,628
2024-12-24,627
2024-12-25,615
2024-12-26,625
2024-12-27,592
2024-12-28,608
2024-12-29,636
2024-12-30,592
2024-12-31,646
2025-01-01,600
2025-01-02,646
2025-01-03,618
2025-01-04,648
2025-01-05,637
2025-01-06,608
2025-01-07,659
2025-01-08,664
2025-01-09,637
2025-01-10,634
2025-01-11,637
2025-01-12,623
2025-01-13,662
2025-01-14,633
2025-01-15,643
2025-01-16,630
2025-01-17,634
2025-01-18,623
2025-01-19,670
2025-01-20,645
2025-01-21,666
2025-01-22,650
2025-01-23,638
2025-01-24,645
2025-01-25,642
2025-01-26,653
2025-01-27,647
2025-01-28,649
2025-01-29,630
2025-01-30,642
2025-01-31,687
2025-02-01,646
2025-02-02,640
2025-02-03,666
2025-02-04,686
2025-02-05,635
2025-02-06,658
2025-02-07,651
2025-02-08,632
2025-02-09,678
2025-02-10,665
2025-02-11,668
2025-02-12,654
2025-02-13,676
2025-02-14,659
2025-02-15,667
2025-02-16,650
2025-02-17,649
2025-02-18,696
2025-02-19,664
2025-02-20,679
2025-02-21,674
2025-02-22,668
2025-02-23,667
2025-02-24,689
2025-02-25,673
2025-02-26,676
2025-02-27,680
2025-02-28,702
2025-03-01,694
2025-03-02,689
2025-03-03,673
2025-03-04,659
2025-03-05,702
2025-03-06,703
2025-03-07,684
2025-03-08,697
2025-03-09,702
2025-03-10,704
2025-03-11,706
2025-03-12,682
2025-03-13,719
2025-03-14,670
