date,followers
2025-07-28,19560
2025-07-29,19430
2025-07-30,19479
2025-07-31,19256
2025-08-01,19756
2025-08-02,19727
2025-08-03,19511
2025-08-04,19548
2025-08-05,19020
2025-08-06,19566
2025-08-07,19413
2025-08-08,19552
2025-08-09,19615
2025-08-10,19424
2025-08-11,19168
2025-08-12,19593
2025-08-13,19384
2025-08-14,19480
2025-08-15,19438
2025-08-16,19504
2025-08-17,19124
2025-08-18,19843
2025-08-19,19664
2025-08-20,19849
2025-08-21,20000
2025-08-22,19658
2025-08-23,19306
2025-08-24,19501
2025-08-25,19452
2025-08-26,19607
