date,followers
2024-08-27,804
2024-08-28,919
2024-08-29,833
2024-08-30,922
2024-08-31,905
2024-09-01,898
2024-09-02,912
2024-09-03,892
2024-09-04,891
2024-09-05,842
2024-09-06,924
2024-09-07,1016
2024-09-08,1025
2024-09-09,996
2024-09-10,969
2024-09-11,905
2024-09-12,1009
2024-09-13,940
2024-09-14,942
2024-09-15,934
2024-09-16,955
2024-09-17,932
2024-09-18,951
2024-09-19,906
2024-09-20,942
2024-09-21,1072
2024-09-22,962
2024-09-23,956
2024-09-24,996
2024-09-25,1007
2024-09-26,922
2024-09-27,968
2024-09-28,1025
2024-09-29,996
2024-09-30,991
2024-10-01,1063
2024-10-02,958
2024-10-03,997
2024-10-04,971
2024-10-05,1070
2024-10-06,907
2024-10-07,971
2024-10-08,980
2024-10-09,1040
2024-10-10,1040
2024-10-11,1080
2024-10-12,940
2024-10-13,1054
2024-10-14,1007
2024-10-15,991
2024-10-16,1052
2024-10-17,984
2024-10-18,931
2024-10-19,1015
2024-10-20,964
2024-10-21,1007
2024-10-22,1059
2024-10-23,1058
2024-10-24,1122
2024-10-25,1039
2024-10-26,977
2024-10-27,1017
2024-10-28,1012
2024-10-29,1000
2024-10-30,1082
2024-10-31,1032
2024-11-01,971
2024-11-02,1102
2024-11-03,1066
2024-11-04,1091
2024-11-05,1081
2024-11-06,1109
2024-11-07,1083
2024-11-08,1143
2024-11-09,1106
2024-11-10,1107
2024-11-11,1111
2024-11-12,1024
2024-11-13,1088
2024-11-14,1086
2024-11-15,1111
2024-11-16,1038
2024-11-17,1185
2024-11-18,1114
2024-11-19,1053
2024-11-20,1032
2024-11-21,1103
2024-11-22,1114
2024-11-23,1087
2024-11-24,1128
2024-11-25,1095
2024-11-26,1155
2024-11-27,1096
2024-11-28,1132
2024-11-29,1183
2024-11-30,1262
2024-12-01,1093
2024-12-02,1122
2024-12-03,1106
2024-12-04,1187
2024-12-05,1096
2024-12-06,1131
2024-12-07,1155
2024-12-08,1112
2024-12-09,1115
2024-12-10,1141
2024-12-11,1066
2024-12-12,1100
2024-12-13,1152
2024-12-14,1181
2024-12-15,1168
2024-12-16,1094
2024-12-17,1159
2024-12-18,1222
2024-12-19,1213
2024-12-20,1185
2024-12-21,1149
2024-12-22,1224
2024-12-23,1169
2024-12-24,1143
2024-12-25,1163
2024-12-26,1274
2024-12-27,1217
2024-12-28,1265
2024-12-29,1189
2024-12-30,1259
2024-12-31,1188
2025-01-01,1212
2025-01-02,1341
2025-01-03,1261
2025-01-04,1203
2025-01-05,1225
2025-01-06,1247
2025-01-07,1292
2025-01-08,1213
2025-01-09,1156
2025-01-10,1228
2025-01-11,1245
2025-01-12,1252
2025-01-13,1313
2025-01-14,1267
2025-01-15,1293
2025-01-16,1204
2025-01-17,1301
2025-01-18,1363
2025-01-19,1302
2025-01-20,1279
2025-01-21,1277
2025-01-22,1358
2025-01-23,1230
2025-01-24,1272
2025-01-25,1302
2025-01-26,1318
2025-01-27,1264
2025-01-28,1302
2025-01-29,1276
2025-01-30,1298
2025-01-31,1288
2025-02-01,1242
2025-02-02,1299
2025-02-03,1344
2025-02-04,1258
2025-02-05,1296
2025-02-06,1342
2025-02-07,1261
2025-02-08,1324
2025-02-09,1266
2025-02-10,1374
2025-02-11,1433
2025-02-12,1422
2025-02-13,1317
2025-02-14,1365
2025-02-15,1338
2025-02-16,1340
2025-02-17,1412
2025-02-18,1277
2025-02-19,1393
2025-02-20,1343
2025-02-21,1415
2025-02-22,1359
2025-02-23,1320
2025-02-24,1368
2025-02-25,1393
2025-02-26,1362
2025-02-27,1386
2025-02-28,1340
2025-03-01,1265
2025-03-02,1413
2025-03-03,1406
2025-03-04,1382
2025-03-05,1381
2025-03-06,1430
2025-03-07,1361
2025-03-08,1351
2025-03-09,1379
2025-03-10,1447
2025-03-11,1326
2025-03-12,1452
2025-03-13,1367
2025-03-14,1347
2025-03-15,1463
2025-03-16,1401
2025-03-17,1345
2025-03-18,1393
2025-03-19,1457
2025-03-20,1473
2025-03-21,1397
2025-03-22,1440
2025-03-23,1457
2025-03-24,1394
2025-03-25,1445
2025-03-26,1429
2025-03-27,1407
2025-03-28,1412
2025-03-29,1441
2025-03-30,1442
2025-03-31,1416
2025-04-01,1425
2025-04-02,1501
2025-04-03,1461
2025-04-04,1496
2025-04-05,1513
2025-04-06,1486
2025-04-07,1570
2025-04-08,1423
2025-04-09,1504
2025-04-10,1453
2025-04-11,1560
2025-04-12,1555
2025-04-13,1382
2025-04-14,1432
2025-04-15,1513
2025-04-16,1521
2025-04-17,1521
2025-04-18,1485
2025-04-19,1513
2025-04-20,1525
2025-04-21,1492
2025-04-22,1548
2025-04-23,1392
2025-04-24,1534
2025-04-25,1456
2025-04-26,1554
2025-04-27,1500
2025-04-28,1471
2025-04-29,1534
2025-04-30,1475
2025-05-01,1477
2025-05-02,1448
2025-05-03,1525
2025-05-04,1552
2025-05-05,1580
2025-05-06,1527
2025-05-07,1586
2025-05-08,1539
2025-05-09,1537
2025-05-10,1571
2025-05-11,1597
2025-05-12,1532
2025-05-13,1539
2025-05-14,1546
2025-05-15,1560
2025-05-16,1515
2025-05-17,1610
2025-05-18,1544
2025-05-19,1588
2025-05-20,1529
2025-05-21,1588
2025-05-22,1592
2025-05-23,1556
2025-05-24,1676
2025-05-25,1599
2025-05-26,1669
2025-05-27,1632
2025-05-28,1557
2025-05-29,1573
2025-05-30,1615
2025-05-31,1599
2025-06-01,1601
2025-06-02,1588
2025-06-03,1517
2025-06-04,1596
2025-06-05,1502
2025-06-06,1629
2025-06-07,1579
2025-06-08,1582
2025-06-09,1608
2025-06-10,1635
2025-06-11,1555
2025-06-12,1543
2025-06-13,1578
2025-06-14,1533
2025-06-15,1588
2025-06-16,1713
2025-06-17,1588
2025-06-18,1673
2025-06-19,1578
2025-06-20,1661
2025-06-21,1634
2025-06-22,1649
2025-06-23,1681
2025-06-24,1741
2025-06-25,1668
2025-06-26,1668
2025-06-27,1617
2025-06-28,1695
2025-06-29,1657
2025-06-30,1712
