date,value
2024-08-27,30
2024-08-28,33
2024-08-29,25
2024-08-30,35
2024-08-31,33
2024-09-01,34
2024-09-02,36
2024-09-03,32
2024-09-04,36
2024-09-05,32
2024-09-06,35
2024-09-07,33
2024-09-08,35
2024-09-09,38
2024-09-10,32
2024-09-11,33
2024-09-12,34
2024-09-13,36
2024-09-14,43
2024-09-15,33
2024-09-16,29
2024-09-17,34
2024-09-18,31
2024-09-19,34
2024-09-20,36
2024-09-21,33
2024-09-22,34
2024-09-23,31
2024-09-24,37
2024-09-25,35
2024-09-26,40
2024-09-27,40
2024-09-28,35
2024-09-29,36
2024-09-30,38
2024-10-01,40
2024-10-02,33
2024-10-03,38
2024-10-04,43
2024-10-05,38
2024-10-06,39
2024-10-07,39
2024-10-08,35
2024-10-09,42
2024-10-10,40
2024-10-11,40
2024-10-12,42
2024-10-13,42
2024-10-14,34
2024-10-15,41
2024-10-16,38
2024-10-17,41
2024-10-18,38
2024-10-19,38
2024-10-20,43
2024-10-21,41
2024-10-22,40
2024-10-23,40
2024-10-24,42
2024-10-25,41
2024-10-26,35
2024-10-27,39
2024-10-28,41
2024-10-29,44
2024-10-30,46
2024-10-31,40
2024-11-01,48
2024-11-02,43
2024-11-03,44
2024-11-04,42
2024-11-05,42
2024-11-06,48
2024-11-07,43
2024-11-08,44
2024-11-09,47
2024-11-10,49
2024-11-11,40
2024-11-12,44
2024-11-13,45
2024-11-14,50
2024-11-15,52
2024-11-16,45
2024-11-17,46
2024-11-18,48
2024-11-19,49
2024-11-20,45
2024-11-21,48
2024-11-22,44
2024-11-23,39
2024-11-24,43
2024-11-25,47
2024-11-26,49
2024-11-27,40
2024-11-28,42
2024-11-29,47
2024-11-30,38
2024-12-01,49
2024-12-02,51
2024-12-03,39
2024-12-04,50
2024-12-05,48
2024-12-06,52
2024-12-07,49
2024-12-08,48
2024-12-09,49
2024-12-10,52
2024-12-11,50
2024-12-12,50
2024-12-13,45
2024-12-14,51
2024-12-15,50
2024-12-16,55
2024-12-17,50
2024-12-18,50
2024-12-19,49
2024-12-20,53
2024-12-21,50
2024-12-22,49
2024-12-23,56
2024-12-24,56
2024-12-25,50
2024-12-26,49
2024-12-27,55
2024-12-28,50
2024-12-29,60
2024-12-30,52
2024-12-31,55
2025-01-01,49
2025-01-02,53
2025-01-03,56
2025-01-04,54
2025-01-05,52
2025-01-06,60
2025-01-07,56
2025-01-08,53
2025-01-09,52
2025-01-10,53
2025-01-11,58
2025-01-12,52
2025-01-13,55
2025-01-14,52
2025-01-15,58
2025-01-16,55
2025-01-17,58
2025-01-18,57
2025-01-19,54
2025-01-20,58
2025-01-21,59
2025-01-22,53
2025-01-23,58
2025-01-24,67
2025-01-25,56
2025-01-26,58
2025-01-27,53
2025-01-28,58
2025-01-29,55
2025-01-30,60
2025-01-31,57
2025-02-01,54
2025-02-02,61
2025-02-03,57
2025-02-04,55
2025-02-05,58
2025-02-06,56
2025-02-07,60
2025-02-08,59
2025-02-09,58
2025-02-10,61
2025-02-11,56
2025-02-12,62
2025-02-13,54
2025-02-14,64
2025-02-15,60
2025-02-16,59
2025-02-17,58
2025-02-18,62
2025-02-19,60
2025-02-20,60
2025-02-21,64
2025-02-22,60
2025-02-23,60
2025-02-24,63
2025-02-25,65
2025-02-26,61
2025-02-27,62
2025-02-28,62
2025-03-01,64
2025-03-02,67
2025-03-03,60
2025-03-04,62
2025-03-05,63
2025-03-06,65
2025-03-07,67
2025-03-08,63
2025-03-09,64
2025-03-10,67
2025-03-11,60
2025-03-12,62
2025-03-13,63
2025-03-14,64
2025-03-15,65
2025-03-16,63
2025-03-17,70
2025-03-18,63
2025-03-19,64
2025-03-20,68
2025-03-21,67
2025-03-22,65
2025-03-23,67
2025-03-24,68
2025-03-25,66
2025-03-26,68
2025-03-27,64
2025-03-28,67
2025-03-29,62
2025-03-30,64
2025-03-31,64
2025-04-01,71
2025-04-02,66
2025-04-03,68
2025-04-04,65
2025-04-05,67
2025-04-06,67
2025-04-07,65
2025-04-08,71
2025-04-09,63
2025-04-10,70
2025-04-11,76
2025-04-12,66
2025-04-13,69
2025-04-14,65
2025-04-15,69
2025-04-16,64
2025-04-17,71
2025-04-18,68
2025-04-19,64
2025-04-20,66
2025-04-21,65
2025-04-22,69
2025-04-23,73
2025-04-24,69
2025-04-25,67
2025-04-26,68
2025-04-27,71
2025-04-28,64
2025-04-29,73
2025-04-30,73
2025-05-01,64
2025-05-02,75
2025-05-03,67
2025-05-04,71
2025-05-05,76
2025-05-06,68
2025-05-07,67
2025-05-08,69
2025-05-09,70
2025-05-10,73
2025-05-11,72
2025-05-12,72
2025-05-13,72
2025-05-14,73
2025-05-15,71
2025-05-16,75
2025-05-17,74
2025-05-18,71
2025-05-19,80
2025-05-20,71
2025-05-21,77
2025-05-22,73
2025-05-23,76
2025-05-24,77
2025-05-25,78
2025-05-26,80
2025-05-27,73
2025-05-28,84
2025-05-29,77
2025-05-30,74
2025-05-31,72
2025-06-01,83
2025-06-02,81
2025-06-03,77
2025-06-04,79
2025-06-05,81
2025-06-06,78
2025-06-07,76
2025-06-08,78
2025-06-09,80
2025-06-10,78
2025-06-11,75
2025-06-12,80
2025-06-13,73
2025-06-14,76
2025-06-15,82
2025-06-16,80
2025-06-17,80
2025-06-18,80
2025-06-19,82
2025-06-20,79
2025-06-21,74
2025-06-22,81
2025-06-23,71
2025-06-24,74
2025-06-25,85
2025-06-26,84
2025-06-27,79
2025-06-28,81
2025-06-29,81
2025-06-30,84
2025-07-01,79
2025-07-02,79
2025-07-03,80
2025-07-04,82
2025-07-05,83
2025-07-06,81
2025-07-07,84
2025-07-08,79
2025-07-09,82
2025-07-10,81
2025-07-11,80
2025-07-12,87
2025-07-13,82
2025-07-14,80
2025-07-15,84
2025-07-16,81
2025-07-17,86
2025-07-18,86
2025-07-19,87
2025-07-20,81
2025-07-21,84
2025-07-22,90
2025-07-23,84
2025-07-24,89
2025-07-25,90
2025-07-26,81
2025-07-27,89
2025-07-28,88
2025-07-29,88
2025-07-30,91
2025-07-31,87
2025-08-01,86
2025-08-02,88
2025-08-03,86
2025-08-04,88
2025-08-05,81
2025-08-06,92
2025-08-07,86
2025-08-08,89
2025-08-09,88
2025-08-10,88
2025-08-11,88
2025-08-12,88
2025-08-13,83
2025-08-14,87
2025-08-15,92
2025-08-16,86
2025-08-17,86
2025-08-18,95
2025-08-19,93
2025-08-20,94
2025-08-21,89
2025-08-22,90
2025-08-23,92
2025-08-24,92
2025-08-25,90
2025-08-26,86
