date,value
2024-08-27,197
2024-08-28,194
2024-08-29,149
2024-08-30,156
2024-08-31,151
2024-09-01,182
2024-09-02,166
2024-09-03,189
2024-09-04,120
2024-09-05,213
2024-09-06,170
2024-09-07,192
2024-09-08,171
2024-09-09,166
2024-09-10,190
2024-09-11,201
2024-09-12,174
2024-09-13,177
2024-09-14,201
2024-09-15,160
2024-09-16,144
2024-09-17,196
2024-09-18,169
2024-09-19,136
2024-09-20,167
2024-09-21,178
2024-09-22,160
2024-09-23,153
2024-09-24,195
2024-09-25,220
2024-09-26,191
2024-09-27,178
2024-09-28,210
2024-09-29,220
2024-09-30,194
2024-10-01,218
2024-10-02,232
2024-10-03,200
2024-10-04,185
2024-10-05,217
2024-10-06,216
2024-10-07,240
2024-10-08,177
2024-10-09,195
2024-10-10,191
2024-10-11,168
2024-10-12,220
2024-10-13,232
2024-10-14,199
2024-10-15,258
2024-10-16,244
2024-10-17,240
2024-10-18,235
2024-10-19,251
2024-10-20,190
2024-10-21,244
2024-10-22,245
2024-10-23,182
2024-10-24,241
2024-10-25,226
2024-10-26,255
2024-10-27,223
2024-10-28,236
2024-10-29,247
2024-10-30,215
2024-10-31,256
2024-11-01,238
2024-11-02,256
2024-11-03,229
2024-11-04,274
2024-11-05,262
2024-11-06,242
2024-11-07,265
2024-11-08,284
2024-11-09,299
2024-11-10,210
2024-11-11,277
2024-11-12,267
2024-11-13,253
2024-11-14,230
2024-11-15,292
2024-11-16,225
2024-11-17,276
2024-11-18,297
2024-11-19,220
2024-11-20,256
2024-11-21,230
2024-11-22,273
2024-11-23,309
2024-11-24,324
2024-11-25,223
2024-11-26,256
2024-11-27,292
2024-11-28,317
2024-11-29,287
2024-11-30,257
2024-12-01,286
2024-12-02,279
2024-12-03,275
2024-12-04,262
2024-12-05,293
2024-12-06,292
2024-12-07,283
2024-12-08,281
2024-12-09,253
2024-12-10,276
2024-12-11,323
2024-12-12,286
2024-12-13,254
2024-12-14,330
2024-12-15,309
2024-12-16,353
2024-12-17,299
2024-12-18,286
2024-12-19,261
2024-12-20,337
2024-12-21,372
2024-12-22,282
2024-12-23,287
2024-12-24,322
2024-12-25,285
2024-12-26,301
2024-12-27,300
2024-12-28,316
2024-12-29,342
2024-12-30,314
2024-12-31,340
2025-01-01,305
2025-01-02,326
2025-01-03,261
2025-01-04,280
2025-01-05,342
2025-01-06,306
