date,value
2024-08-27,11053
2024-08-28,10800
2024-08-29,11053
2024-08-30,11100
2024-08-31,10941
2024-09-01,11085
2024-09-02,11001
2024-09-03,11247
2024-09-04,11184
2024-09-05,10883
2024-09-06,10885
2024-09-07,11599
2024-09-08,11060
2024-09-09,11402
2024-09-10,11237
2024-09-11,10964
2024-09-12,10923
2024-09-13,11198
2024-09-14,11253
2024-09-15,11375
2024-09-16,10825
2024-09-17,11041
2024-09-18,11205
2024-09-19,11728
2024-09-20,10554
2024-09-21,11408
2024-09-22,11128
2024-09-23,11434
2024-09-24,11171
2024-09-25,11443
2024-09-26,11817
2024-09-27,11468
2024-09-28,11506
2024-09-29,11502
2024-09-30,11180
2024-10-01,11582
2024-10-02,11371
2024-10-03,11204
2024-10-04,11450
2024-10-05,11408
2024-10-06,11716
2024-10-07,11492
2024-10-08,11360
2024-10-09,11970
2024-10-10,11844
2024-10-11,11943
2024-10-12,11758
2024-10-13,11558
2024-10-14,11479
2024-10-15,11535
2024-10-16,11918
2024-10-17,11681
2024-10-18,11217
2024-10-19,11664
2024-10-20,11266
2024-10-21,11754
2024-10-22,11358
2024-10-23,11354
2024-10-24,11783
2024-10-25,11738
2024-10-26,11278
2024-10-27,12015
2024-10-28,12454
2024-10-29,11375
2024-10-30,12379
2024-10-31,11641
2024-11-01,11714
2024-11-02,11822
2024-11-03,11457
2024-11-04,12294
2024-11-05,12067
2024-11-06,11708
2024-11-07,11864
2024-11-08,11507
2024-11-09,11872
2024-11-10,12271
2024-11-11,11490
2024-11-12,11888
2024-11-13,12077
2024-11-14,12362
2024-11-15,12467
2024-11-16,11939
2024-11-17,11868
2024-11-18,12240
2024-11-19,12010
2024-11-20,12040
2024-11-21,12472
2024-11-22,12669
2024-11-23,12256
2024-11-24,12133
2024-11-25,12376
2024-11-26,11653
2024-11-27,12228
2024-11-28,11929
2024-11-29,12979
2024-11-30,12492
2024-12-01,12333
2024-12-02,12246
2024-12-03,11565
2024-12-04,12547
2024-12-05,12836
2024-12-06,12143
2024-12-07,12581
2024-12-08,12607
2024-12-09,11940
2024-12-10,12700
2024-12-11,12840
2024-12-12,12516
2024-12-13,12443
2024-12-14,12713
2024-12-15,12028
2024-12-16,12533
2024-12-17,12835
2024-12-18,12161
2024-12-19,12845
2024-12-20,12436
2024-12-21,11952
2024-12-22,12559
2024-12-23,12313
2024-12-24,12715
2024-12-25,12282
2024-12-26,12963
2024-12-27,12440
2024-12-28,12783
2024-12-29,12512
2024-12-30,12608
2024-12-31,13077
2025-01-01,12798
2025-01-02,12629
2025-01-03,12386
2025-01-04,13124
2025-01-05,13010
2025-01-06,12707
2025-01-07,12892
2025-01-08,12524
2025-01-09,12543
2025-01-10,12614
2025-01-11,12982
2025-01-12,12979
2025-01-13,12681
2025-01-14,13140
2025-01-15,13169
2025-01-16,12999
2025-01-17,13273
2025-01-18,12890
2025-01-19,12957
2025-01-20,13147
2025-01-21,13009
2025-01-22,13271
2025-01-23,12672
2025-01-24,13490
2025-01-25,12842
2025-01-26,13041
2025-01-27,12691
2025-01-28,13299
2025-01-29,13515
2025-01-30,13469
2025-01-31,13412
2025-02-01,12709
2025-02-02,12956
2025-02-03,13066
2025-02-04,12939
2025-02-05,13570
2025-02-06,13303
2025-02-07,13255
2025-02-08,13422
2025-02-09,13005
2025-02-10,13032
2025-02-11,13055
2025-02-12,13483
2025-02-13,13450
2025-02-14,13535
2025-02-15,13700
2025-02-16,12983
2025-02-17,13237
2025-02-18,13463
2025-02-19,13029
2025-02-20,13288
2025-02-21,13766
2025-02-22,13807
2025-02-23,13813
2025-02-24,13518
2025-02-25,13455
2025-02-26,13857
2025-02-27,13436
2025-02-28,13663
2025-03-01,13974
2025-03-02,13480
2025-03-03,13422
2025-03-04,13616
2025-03-05,13813
2025-03-06,13792
2025-03-07,13709
2025-03-08,13843
2025-03-09,13211
2025-03-10,13447
2025-03-11,13768
2025-03-12,13455
2025-03-13,13345
2025-03-14,13400
2025-03-15,13501
2025-03-16,13737
2025-03-17,13498
2025-03-18,13889
2025-03-19,14342
2025-03-20,13803
2025-03-21,14244
2025-03-22,13963
2025-03-23,13554
2025-03-24,13828
2025-03-25,13624
2025-03-26,14164
2025-03-27,13602
2025-03-28,14359
2025-03-29,14150
2025-03-30,13384
2025-03-31,14240
2025-04-01,14485
2025-04-02,13796
2025-04-03,14343
2025-04-04,13522
2025-04-05,14152
2025-04-06,13592
2025-04-07,14249
2025-04-08,13583
2025-04-09,13343
