date,value
2024-08-27,964
2024-08-28,904
2024-08-29,708
2024-08-30,847
2024-08-31,835
2024-09-01,837
2024-09-02,816
2024-09-03,752
2024-09-04,923
2024-09-05,798
2024-09-06,843
2024-09-07,830
2024-09-08,825
2024-09-09,935
2024-09-10,913
2024-09-11,841
2024-09-12,826
2024-09-13,864
2024-09-14,971
2024-09-15,915
2024-09-16,927
2024-09-17,890
2024-09-18,899
2024-09-19,938
2024-09-20,793
2024-09-21,1046
2024-09-22,878
2024-09-23,897
2024-09-24,1039
2024-09-25,962
2024-09-26,953
2024-09-27,912
2024-09-28,846
2024-09-29,976
2024-09-30,1053
2024-10-01,906
2024-10-02,1073
2024-10-03,898
2024-10-04,930
2024-10-05,1023
2024-10-06,991
2024-10-07,1045
2024-10-08,946
2024-10-09,929
2024-10-10,873
2024-10-11,924
2024-10-12,938
2024-10-13,916
2024-10-14,1045
2024-10-15,979
2024-10-16,888
2024-10-17,1214
2024-10-18,979
2024-10-19,953
2024-10-20,1137
2024-10-21,1135
2024-10-22,973
2024-10-23,954
2024-10-24,992
2024-10-25,1149
2024-10-26,1049
2024-10-27,1018
2024-10-28,1078
2024-10-29,1171
2024-10-30,988
2024-10-31,1064
2024-11-01,996
2024-11-02,1257
2024-11-03,1235
2024-11-04,1177
2024-11-05,1103
2024-11-06,1164
2024-11-07,969
2024-11-08,1144
2024-11-09,1032
2024-11-10,1037
2024-11-11,1086
2024-11-12,1115
2024-11-13,1186
2024-11-14,1199
2024-11-15,1172
2024-11-16,1089
2024-11-17,1210
2024-11-18,1156
2024-11-19,1254
2024-11-20,1107
2024-11-21,978
2024-11-22,1147
2024-11-23,1340
2024-11-24,1223
2024-11-25,1179
2024-11-26,1261
2024-11-27,1238
2024-11-28,1239
2024-11-29,1172
2024-11-30,1219
2024-12-01,1232
2024-12-02,1175
2024-12-03,1145
2024-12-04,1240
2024-12-05,1303
2024-12-06,1284
2024-12-07,1277
2024-12-08,1282
2024-12-09,1436
2024-12-10,1273
2024-12-11,1333
2024-12-12,1403
2024-12-13,1270
2024-12-14,1289
2024-12-15,1349
2024-12-16,1400
2024-12-17,1305
2024-12-18,1312
2024-12-19,1297
2024-12-20,1208
2024-12-21,1379
2024-12-22,1284
2024-12-23,1183
2024-12-24,1300
2024-12-25,1190
2024-12-26,1246
2024-12-27,1324
2024-12-28,1261
2024-12-29,1408
2024-12-30,1229
2024-12-31,1358
2025-01-01,1384
2025-01-02,1453
2025-01-03,1418
2025-01-04,1372
2025-01-05,1366
2025-01-06,1360
2025-01-07,1450
2025-01-08,1325
2025-01-09,1413
2025-01-10,1373
2025-01-11,1401
2025-01-12,1369
2025-01-13,1546
2025-01-14,1349
2025-01-15,1419
2025-01-16,1424
2025-01-17,1452
2025-01-18,1445
2025-01-19,1447
2025-01-20,1491
2025-01-21,1316
2025-01-22,1429
2025-01-23,1344
2025-01-24,1454
2025-01-25,1356
2025-01-26,1376
2025-01-27,1445
2025-01-28,1554
2025-01-29,1499
2025-01-30,1483
2025-01-31,1566
2025-02-01,1401
2025-02-02,1323
2025-02-03,1447
2025-02-04,1461
2025-02-05,1574
2025-02-06,1644
2025-02-07,1398
2025-02-08,1676
2025-02-09,1614
2025-02-10,1566
2025-02-11,1536
2025-02-12,1689
2025-02-13,1524
2025-02-14,1488
2025-02-15,1536
2025-02-16,1431
2025-02-17,1568
2025-02-18,1530
2025-02-19,1566
2025-02-20,1572
2025-02-21,1474
2025-02-22,1649
2025-02-23,1485
2025-02-24,1626
2025-02-25,1452
2025-02-26,1597
2025-02-27,1516
2025-02-28,1582
2025-03-01,1536
2025-03-02,1430
2025-03-03,1511
2025-03-04,1600
2025-03-05,1644
2025-03-06,1497
2025-03-07,1454
2025-03-08,1548
2025-03-09,1600
2025-03-10,1574
2025-03-11,1565
2025-03-12,1689
2025-03-13,1701
2025-03-14,1689
2025-03-15,1572
2025-03-16,1649
2025-03-17,1634
2025-03-18,1549
2025-03-19,1719
2025-03-20,1666
2025-03-21,1629
2025-03-22,1770
2025-03-23,1727
2025-03-24,1738
2025-03-25,1766
2025-03-26,1736
2025-03-27,1597
2025-03-28,1664
2025-03-29,1768
2025-03-30,1645
2025-03-31,1707
2025-04-01,1737
2025-04-02,1816
2025-04-03,1810
2025-04-04,1785
2025-04-05,1711
2025-04-06,1794
2025-04-07,1770
2025-04-08,1725
2025-04-09,1838
2025-04-10,1780
2025-04-11,1694
2025-04-12,1844
2025-04-13,1738
2025-04-14,1803
2025-04-15,1655
2025-04-16,1767
2025-04-17,1705
2025-04-18,1707
2025-04-19,1643
2025-04-20,1939
2025-04-21,1778
2025-04-22,1810
2025-04-23,1877
2025-04-24,1792
2025-04-25,1842
2025-04-26,1711
2025-04-27,1827
2025-04-28,1787
2025-04-29,1857
2025-04-30,1838
2025-05-01,1729
2025-05-02,1700
2025-05-03,1764
2025-05-04,1894
2025-05-05,1876
2025-05-06,1878
2025-05-07,1708
2025-05-08,1664
2025-05-09,1817
2025-05-10,1842
2025-05-11,1826
2025-05-12,1899
2025-05-13,1865
2025-05-14,1796
2025-05-15,1822
2025-05-16,1900
2025-05-17,1899
2025-05-18,1892
2025-05-19,2065
2025-05-20,1887
2025-05-21,1918
2025-05-22,1842
