date,value
2024-08-27,130
2024-08-28,122
2024-08-29,101
2024-08-30,134
2024-08-31,110
2024-09-01,128
2024-09-02,100
2024-09-03,133
2024-09-04,112
2024-09-05,139
2024-09-06,149
2024-09-07,141
2024-09-08,111
2024-09-09,115
2024-09-10,116
2024-09-11,138
2024-09-12,134
2024-09-13,133
2024-09-14,136
2024-09-15,140
2024-09-16,142
2024-09-17,157
2024-09-18,134
2024-09-19,138
2024-09-20,112
2024-09-21,120
2024-09-22,129
2024-09-23,123
2024-09-24,143
2024-09-25,155
2024-09-26,136
2024-09-27,136
2024-09-28,136
2024-09-29,146
2024-09-30,138
2024-10-01,152
2024-10-02,151
2024-10-03,152
2024-10-04,159
2024-10-05,150
2024-10-06,152
2024-10-07,175
2024-10-08,151
2024-10-09,163
2024-10-10,154
2024-10-11,148
2024-10-12,149
2024-10-13,145
2024-10-14,157
2024-10-15,149
2024-10-16,153
2024-10-17,176
2024-10-18,158
2024-10-19,176
2024-10-20,165
2024-10-21,174
2024-10-22,155
2024-10-23,166
2024-10-24,201
2024-10-25,177
2024-10-26,180
2024-10-27,171
2024-10-28,180
2024-10-29,154
2024-10-30,159
2024-10-31,177
2024-11-01,183
2024-11-02,167
2024-11-03,171
2024-11-04,170
2024-11-05,173
2024-11-06,160
2024-11-07,158
2024-11-08,177
2024-11-09,155
2024-11-10,166
2024-11-11,171
2024-11-12,167
2024-11-13,185
2024-11-14,177
2024-11-15,183
2024-11-16,171
2024-11-17,175
2024-11-18,193
2024-11-19,192
2024-11-20,182
2024-11-21,194
2024-11-22,192
2024-11-23,193
2024-11-24,213
2024-11-25,187
2024-11-26,199
2024-11-27,199
2024-11-28,191
2024-11-29,180
2024-11-30,206
2024-12-01,201
2024-12-02,199
2024-12-03,199
2024-12-04,200
2024-12-05,188
2024-12-06,205
2024-12-07,178
2024-12-08,203
2024-12-09,184
2024-12-10,200
2024-12-11,215
2024-12-12,203
2024-12-13,201
2024-12-14,215
2024-12-15,205
2024-12-16,204
2024-12-17,205
2024-12-18,232
2024-12-19,221
2024-12-20,219
2024-12-21,198
2024-12-22,223
2024-12-23,198
2024-12-24,223
2024-12-25,202
2024-12-26,244
2024-12-27,196
2024-12-28,236
2024-12-29,231
2024-12-30,197
2024-12-31,219
2025-01-01,242
2025-01-02,239
2025-01-03,202
2025-01-04,219
2025-01-05,211
2025-01-06,213
2025-01-07,219
2025-01-08,254
2025-01-09,232
2025-01-10,228
2025-01-11,227
2025-01-12,241
2025-01-13,242
2025-01-14,222
2025-01-15,255
2025-01-16,221
2025-01-17,233
2025-01-18,243
2025-01-19,261
2025-01-20,234
2025-01-21,244
2025-01-22,258
2025-01-23,250
